Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIH-3208;2200. DEV. Помощь с деплоем сервиса ppea-pp-etags-checker;Средний;Закрыто;30.05.2025;18.03.2025;"<p>Нужна помощь с деплое сервиса ppea-pp-etags-checker который использует шаблон helm portfolio-etags-checker.<br />Репоизторий сервиса: https://sfera.inno.local/sourcecode/projects/PPEA/repos/ppea-pp-etags-checker/code/browse/branch/develop<br />Не совсем понял как настроить инвентори для этого шаблона, чтобы указать все нужные переменные среды и чтобы запустился liquibase, с ним проблема так как нет папки core-model из-за чего он быстро запускается и ничего не делает это если брать шаблон spring-boot.<br />Инвентори с helm portfolio-etags-checker: feature/CRFLOMNIH-3119<br />Инвентори с helm spring-boot: feature/CRFLOMNIH-3037<br /><br />Документация у сервиса скудная и не полная в плане переменных сред, которые нужно переопределить, ссылка на статью деплой: https://sfera.inno.local/knowledge/pages?id=1295463<br /><br />У меня есть доступ в их пространство и я скачал основной репозиторий по application.yaml определил какие имеются переменные среды, далее заполнил их:</p>
<p>#БД<br />MAIN_DATASOURCE_JDBC_URL: jdbc:postgresql://d5ppcf-pgc003lk.corp.dev.vtb:5432/ppea_db1?currentSchema=etags<br />MAIN_DATASOURCE_USERNAME: ppea_db1_app</p>
<p>#СС Прикладной Журнал<br />STANDIN_ENABLED: false<br />STANDIN_OWNER: ppea_etags_s1<br />STANDIN_DATASOURCE_JDBC_URL: jdbc:postgresql://d5ppcf-pgc002lk.corp.dev.vtb:5432/ppdb1_standin?currentSchema=etags<br />STANDIN_DATASOURCE_USERNAME: ppdb1_standin_admin<br />STANDIN_BOOTSTRAP_SERVERS:<br />PORTFOLIO_TSAJ_SSL_PROTOCOL: SSL<br />PORTFOLIO_TSAJ_KEYSTORE:<br />PORTFOLIO_TSAJ_TRUSTSTORE:<br />ETCD_ENABLED: false<br />ETCD_URL:<br />PORTFOLIO_ETCD_CA:<br />PORTFOLIO_ETCD_KEY:<br />PORTFOLIO_ETCD_CERT:</p>
<p>#GRPC<br />PP_INTEGRATION_INCOMING_GRPC_ENABLED: false<br />PP_INTEGRATION_INCOMING_GRPC_MODE: sync<br />PP_INTEGRATION_INCOMING_MODE: all<br />PP_GRPC_SERVER_SECURITY_ENABLED: false<br />PP_GRPC_SERVER_SECURITY_CLIENT_AUTH: require<br />PP_GRPC_SERVER_SECURITY_KEY_STORE:<br />PP_GRPC_SERVER_SECURITY_TRUST_STORE:</p>
<p>#PP Kafka<br />PP_KAFKA_HOST: d5ppcf-kfc002lk.corp.dev.vtb:9092<br />PP_KAFKA_CLIENT_ID: ppea-pp-etags-checker<br />PP_KAFKA_GROUP_ID: 2200-ppea-pp-etags-checker<br />PP_KAFKA_TLS_ENABLED: true<br />PP_KAFKA_KEY_STORE_LOCATION: kafka-ppea-client.keystore.p12<br />PP_KAFKA_TRUST_STORE_LOCATION: kafka-ppea-client.truststore.p12<br />PP_KAFKA_RECONNECT_INTERVAL: 5s<br />PP_KAFKA_AUTO_OFFSET_RESET: latest<br />PP_KAFKA_IN_MEM_QUEUE_SIZE: 3000<br />PP_KAFKA_SENDER_THREAD_CAPACITY: 1<br />PP_KAFKA_ETAG_REFRESH_TOPIC: int.ppea.etag-refresh.v1<br />PP_KAFKA_PRODUCT_TOPIC: int.ppea.etag-product-refresh.v1<br />PP_KAFKA_INCOMING_TOPIC: int.ppea.etag.v1</p>
<p><br />#Redis<br />SPRING_REDIS_ENABLED: false<br />SPRING_REDIS_HOST: redis://d5ppcf-rdc001lk.corp.dev.vtb:6379<br />SPRING_REDIS_USERNAME: pp_etags<br />SPRING_REDIS_PASSWORD:</p>
<p><br />#Журналирование<br />LOGGING_KAFKA_ENABLED: false<br />LOGGING_KAFKA_TOPIC: tslg-rtl-app-logs<br />LOGGING_KAFKA_HOST: PLAINTEXT://omni1-emulator-kafka:9092<br />LOGGING_KAFKA_KEYSTORE: kafka-tslg-client.keystore.p12<br />LOGGING_KAFKA_TRUSTSTORE: kafka-tslg-client.truststore.p12</p>
<p>#Логирование<br />APP_LOGGING_LEVEL: INFO<br />BODY_LOGGING_LEVEL: INFO</p>
<p>#Сервис<br />SERVER_SSL_ENABLE: false</p>
<p><br /><br /></p>";devops_консультация,devops_support
CRFLOMNIL-1279;КОПИЯ Проблемы подключения  на k3-c в ppcf.;Высокий;Выполнено;26.03.2025;18.03.2025;"<p>Нет доступа к&nbsp; сервису ppcf-general-cession-prod-processor на k3-c.<br />Нужны доступы к подам для просмотра логов микросервиса<br /><br /></p>";devops_support,devops_cloud_доступ
CRFLOMNIA-1636;выдать доступ до внутренней кафки;Средний;Закрыто;10.06.2025;18.03.2025;"<p>стенд&nbsp; DEV</p>
<p>ис 2199<br /><br /></p>
<p>При попытке отсылки сообщения в топик кафки `int.ppcf.osrf-notif.v1` сервис выдаёт ошибку в логе<br />```<br />org.springframework.kafka.KafkaException: Send failed<br />....<br />Caused by: org.apache.kafka.common.errors.TimeoutException: Topic int.ppcf.osrf-notif.v1 not present in metadata after 60000 ms.<br />```<br />есть предположение, что у сертификата `APD00.00-2199-kafka-dk-client-ppcf` не хватает прав на топик `int.ppcf.osrf-notif.v1` (мне нужен продюсер, возможно другие сервисы сидят под такимже сертом, но они консьюмеры), сервер кафки `d5ppcf-kfc002lk.corp.dev.vtb:9092`</p>";devops_inventory_bug,devops_support
CRFLOMNIL-1278;Доступ k8s dev ppcf casf;Высокий;Выполнено;17.03.2025;17.03.2025;<p>Добрый день. УЗ vtb4057299<br />Прошу предоставить доступ к k8s ppcf: https://console.apps.dkt-ppcf01.corp.dev.vtb/k8s/ns/dkt-ppcf01-ppcf-casf/core~v1~Pod<br /><br /></p>;devops_cloud_доступ,devops_support
CRFLOMNIE-1138;Ошибка деплоя сервиса;Средний;Выполнено;17.03.2025;17.03.2025;"<p>на дев: FATAL: remaining connection slots are reserved for non-replication superuser connections</p>
<p>&nbsp;</p>
<p>Unexpected error running Liquibase: Connection could not be created to jdbc:postgresql://d5ppcf-pgc002lk.corp.dev.vtb:5432/ppdb1</p>";devops_db,devops_support
CRFLOMNIJ-947;Доступ к Vtb cloud 2199;Средний;Закрыто;17.03.2025;17.03.2025;"<p>1. Приоритет: Высокий</p>
<p>2. ИС - 2199 PPCF</p>
<p>3. DEV</p>
<p>4. Добрый день!<br />Просьба выдать доступ к консоли Vtb cloud на учетки:<br />vtb4110878 (Доступ на ис 2199(PPCF))</p>";devops_support,devops_cloud_доступ
CRFLOMNIL-1277;Добавление настроек в инвентори для деплоя оркестратора транзакций на ифт;Высокий;Выполнено;17.03.2025;17.03.2025;"<p>При попытке развернуть casf-cession-orchestrator на ифт, пода не появляется.<br /><br />https://sfera.test.vtb.ru/orchestration2/dashboard/CASF/project/32bf3eef-65bf-4e06-9202-2a676c9ff270/builds/1741729<br /><br />Проблема была в файле transOrch.yaml, который мы перенесли в dev из default как временное решение.<br /><br />нам нужно поправить настройки, чтобы на ифт мы могли развернуть оркестратор.</p>
<p>&nbsp;</p>
<p>Ветка инвентори</p>
<p><br />https://sfera.inno.local/sourcecode/projects/CASF_DEPLOY/repos/devops_msa_deploy_inventory/pulls/787938/diff#helmfile/modules/casf-cession-orchestrator/default/values.yaml<br /><br />на dev настраивал Руслан Рахмушев<br /><br /><br /></p>";devops_консультация,devops_inventory_bug,devops_support
CRFLOMNIJ-948;Devbar, проблема сборки автотестов;Высокий;Выполнено;18.03.2025;18.03.2025;"<p>1. Приоритет: Высокий</p>
<p>2. ИС - 2197 ACRP</p>
<p>3. DEVBAR</p>
<p>4. Добрый день!<br />При попытке сборки запуска проекта автотестов на DEVBAR https://sfera.inno.local/orchestration3/dashboard/ACRP/project/9ead23cc-0f96-4f9b-a189-47e84cd1ff21 происходит падение с ошибкой. Лог прикладываю файлом в раздел Вложения. Прошу помочь с устранением проблемы</p>";devops_support,devops_инструменты
CRFLOMNIC-977;2199. ПРОД-стенд. Помощь в заполнении инвентори;Критический;Закрыто;24.03.2025;19.03.2025;"<p><strong>ИС:</strong> 2199</p>
<p><strong>Стенд:</strong> ПРОД</p>
<p><strong>МС:</strong> ppcf-ifrs</p>
<p><br />Коллеги, нужна помощь с заполнением инвентори для выхода в ПРОМ микросервиса ppcf-ifrs, особенно по части ingress.</p>
<p>Сейчас актуальная ветка инвентори: master (после перенесём обновления в релизную ветку).</p>
<p>Также нужна консультация, нужен ли балансировщик на ПРОМ, если у нашего микросервиса API только внутренние, в рамках 2199 и не публикуются во вне.</p>
<p>&nbsp;</p>
<p>Готовы поставить встречу.</p>";devops_консультация,devops_support
CRFLOMNIC-974;2199. ИФТ-стенд. Ошибка при подключению к топикам Kafka;Высокий;Закрыто;25.03.2025;18.03.2025;"<p><strong>ИС:</strong> 2199</p>
<p><strong>Стенд:</strong> ИФТ</p>
<p><br />Коллеги, нужна помощь с поиском причин ошибки микросервиса ppcf-ifrs при подключению к топикам Kafka.</p>
<p>Недавно заводили новые топики:</p>
<p>int.ppcf.ifrs-spec-seg-to-outseg.v1<br />int.ppcf.ifrs-accounting-category.v1</p>
<p>&nbsp;</p>
<p>При попытке подключиться к ним получаем ошибку:</p>
<p>Caused by: org.apache.kafka.common.errors.TimeoutException: Topic int.ppcf.ifrs-accounting-category.v1 not present in metadata after 60000 ms.</p>
<p>&nbsp;</p>
<p>Сами топики в cloud есть, ACL прописан.</p>
<p>&nbsp;</p>
<p>К другим топикам успешно подключаемся.</p>
<p>&nbsp;</p>
<p>Лог микросервиса прикладываю во вложении.</p>
<p>&nbsp;</p>
<p>Готовы поставить встречу.</p>";devops_ошибки_разработчиков,devops_support
CRFLOMNIL-1276;Создание топика на dev;Высокий;Выполнено;17.03.2025;17.03.2025;<p>Прошу в кафке на dev (d5ppcf-kfc002lk.corp.dev.vtb:9092) создать следующий топик:<br />aceg-process-inbound-event<br />Также прошу, чтобы при выпуске сертификата с cn APD00.00-2199-kafka-dk-client-ppcf был доступ к этому топику.</p>;devops_inventory_bug,devops_support,devops_инструменты
CRFLOMNIL-1275;КОПИЯ Добавить группы для получения доступа неймспейсов ИС: 1830, 2197, 2199, 2198;Средний;Выполнено;17.03.2025;17.03.2025;"<p>Необходимо добавить группы для получения доступа к неймспейсам.<br />ИС: 1830, 2197, 2199, 2198<br />Стенд: ИФТ<br />ФИО: Асанова Диана Дамировна<br />УЗ домена Test: vtb4110566</p>
<p><br />Cсылка на Kibana: https://kbns1-balancer-ift.test.vtb.ru/<br />Группы, которые нужно подключить:<br />cloud-grcr-k8s-viewer<br />сloud-ppcf-k8s-viewer<br />cloud-crcr-k8s-users<br />cloud-acrp-k8s-viewer<br />test-synt-cont-users</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Родительскую актуальную задачу посмотреть по ссылке https://sfera.vtb.ru/knowledge/pages?id=758198.</p>";devops_support,devops_cloud_доступ
CREDFLGRAF-8586;RTLL Проблема при обращении к внешнему урлу из сервиса;Высокий;Выполнено;17.03.2025;16.03.2025;<p>При обращении к урлу Реестра схем, возникает ошибка что сертификат не подходит.<br />Коллеги со совей стороны не вдят обращения к их точкам</p>;devops_inventory_bug,devops_support
CRFLOMNIE-1133;Предоставление доступа в Kibana на ИФТ;Высокий;Выполнено;18.03.2025;16.03.2025;"<p>Предоставление доступа в Kibana на ИФТ ИС 2199 / ИС 2201 для учеток в домене TEST:</p>
<p>vtb4106847</p>";devops_cloud_доступ,devops_support
CRFLOMNIG-1265;Прошу дать доступ к namespace кубера;Средний;Выполнено;14.03.2025;14.03.2025;"<p>ИС - 2199 , 2197, 1830</p>
<p>Контур: дев, ифт, командный стенд S6</p>
<p>Роли - чтение<br />Логин - vtb4108365, vtb4110381, vtb4116746<br />Доступ к https://console.apps.ik7-kube03.test.vtb.ru/</p>
<p>&nbsp;</p>";devops_support,devops_cloud_доступ
CRFLOMNIL-1274;Не удается подключится к кафке 2198 с ис 2199 на ИФТ;Высокий;Выполнено;16.03.2025;13.03.2025;"<p>Развернул ppcf-cession-prod-processor на k3-c&nbsp;<br /><br />https://sfera.test.vtb.ru/orchestration4/dashboard/PPCF/project/014fca19-c68b-4f86-9513-0f3bdd0b4233/builds/882726<br /><br /></p>
<p>&nbsp;</p>
<p>Ветка инвентори<br />https://sfera.inno.local/sourcecode/projects/PPCF_DEPLOY/repos/devops_msa_deploy_inventory/pulls/812699/diff<br /><br />При попытке подписаться на топик pub.casf.cession-deal-activate.v1 в кафке ifcasf-kfc001lk.test.vtb.ru:9092 получаю ошибку авторизации.</p>";devops_inventory_bug,devops_support,devops_инструменты
CRFLOMNIL-1273;КОПИЯ Добавить группы для получения доступа неймспейсов ИС: 1830, 2197, 2199, 2198;Средний;Закрыто;14.03.2025;13.03.2025;"<p>Необходимо добавить группы для получения доступа к неймспейсам.<br />ИС: 1830, 2197, 2199, 2198<br />Стенд: ИФТ<br />ФИО: Нейгебауэр Ирина Владимировна<br />УЗ домена Test: vtb70185509</p>
<p><br />Cсылка на Kibana: https://kbns1-balancer-ift.test.vtb.ru/<br />Группы, которые нужно подключить:<br />cloud-grcr-k8s-viewer<br />сloud-ppcf-k8s-viewer<br />cloud-crcr-k8s-users<br />cloud-acrp-k8s-viewer<br />test-synt-cont-users</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Родительскую актуальную задачу посмотреть по ссылке https://sfera.vtb.ru/knowledge/pages?id=758198.</p>";devops_support,devops_cloud_доступ
CRFLOMNIL-1272;Добавить группы для получения доступа неймспейсов ИС: 1830, 2197, 2199, 2198;Средний;Закрыто;14.03.2025;13.03.2025;"<p>Необходимо добавить группы для получения доступа к неймспейсам.<br />ИС: 1830, 2197, 2199, 2198<br />Стенд: ИФТ<br />ФИО: Нейгебауэр Ирина Владимировна<br />УЗ домена Test: vtb70185509</p>
<p><br />Cсылка на Kibana: https://kbns1-balancer-ift.test.vtb.ru/<br />Группы, которые нужно подключить:<br />cloud-grcr-k8s-viewer<br />сloud-ppcf-k8s-viewer<br />cloud-crcr-k8s-users<br />cloud-acrp-k8s-viewer<br />test-synt-cont-users</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Родительскую актуальную задачу посмотреть по ссылке https://sfera.vtb.ru/knowledge/pages?id=758198.</p>";devops_support,devops_cloud_доступ
CRFLOMNIJ-941;Деплой acrp-escrow на devBar и IFT;Высокий;Выполнено;14.03.2025;13.03.2025;"<p>1. Приоритет: Высокий</p>
<p>2. ИС - 2197 (ACRP)</p>
<p>3. devBar/IFT</p>
<p>4. Добрый день!<br />При попытке задеплоить сервис acrp-escrow 0.0.35 на devBar и IFT сборка падает с ошибкой. Прошу помочь с деплоем.&nbsp;</p>
<p>Ветка инвентори release/RL-T1-104035</p>
<p>Ссылка на джобу на devBar: https://sfera.inno.local/orchestration3/dashboard/ACRP/project/41525940-1354-449b-aed7-078632050d94/builds/955908</p>";devops_support,devops_инструменты
CREDFLGRAF-8576;RTLL Помощь с запуском сервиса outbox-worker;Высокий;Выполнено;14.03.2025;13.03.2025;<p>При запуске сервиса на контуре ИФТ, идет попытка поключения к кафке другой системы. Но при запуске ошибки при попытке подключения.<br /><br />Также при попытке проверить доступность кафки с поды, не удалось это сделать. Но с другого сервиса доступ до брокеров удалось получить</p>;devops_inventory_feat,devops_support
CRFLOMNIG-1256;Devops.Починить джобу;Критический;Выполнено;14.03.2025;13.03.2025;"<p>После повышения версии деплой acrp-bff длится бесконечно на строчке:<br />[2025-03-13 13:37:09.709] Upgrading release=acrp-bff, chart=/tmp/helmfile2522556372/ifk8s-acrp-8d7be0-acrp/acrp-bff/acrp-docker-test-g/helm/spring-boot/_2.0.3/spring-boot<br /><br /></p>
<p>&nbsp;</p>";devops_консультация,devops_support,devops_inventory_bug
CRFLOMNII-1416;Увеличение памяти WireMock;Высокий;Выполнено;13.03.2025;13.03.2025;<p>Необходимо увеличить объем памяти WireMock до 2 гигабайт(при возможности)<br />В случае отсуствия возможности просьба отписаться до скольки возможно увеличение памяти<br />https://wiremock-ppcf.oslb-dev01.corp.dev.vtb</p>;devops_support,devops_консультация
CRFLOMNIL-1271;Не работает деплой casf-cession-orchestrator на ИФТ;Высокий;Выполнено;13.03.2025;13.03.2025;"<p>Деплой долго крутится, но пода так и не появляется</p>
<p>&nbsp;</p>
<p>Ссылка на деплой</p>
<p>&nbsp;</p>
<p>https://sfera.test.vtb.ru/orchestration2/dashboard/CASF/project/32bf3eef-65bf-4e06-9202-2a676c9ff270/builds/1709773</p>";devops_inventory_bug,devops_support,devops_инструменты
CRFLOMNIE-1124;DevOps. Ошибка при раскатке сервиса grcr-plan-orchestrator 2201 на ИФТ;Средний;Закрыто;13.03.2025;13.03.2025;"<p>Сборка зависает на шаге Upgrading release=grcr-plan-orchestrator, chart=/tmp/helmfile377880921/ifk8s-grcr-89bfdc-grcr/grcr-plan-orchestrator/grcr-docker-test-g/helm/spring-boot/_2.0.3/spring-boot</p>
<p>Ссылка на запуск джобы: https://sfera.test.vtb.ru/orchestration2/dashboard/GRCR/project/87289153-d414-4964-82c7-b1c695c57f79/builds/1710027</p>";devops_инструменты,devops_support
CRFLOMNIE-1122;DevOps. Ошибка при раскатке сервисов 2201 на ИФТ;Средний;Выполнено;13.03.2025;12.03.2025;<p>При раскате сервисов 2201 на ифт возникает ошибка, лог на приложенном скриншоте</p>;devops_инструменты,devops_support
CRFLOMNIL-1270;Не подключаются базы данных;Средний;Выполнено;17.03.2025;12.03.2025;"<p>ИС 2198 CASF</p>
<p>Для выполнения инструкций по подключению ШП39 в сервисе casf-cession-orchestrator требуется доработать chart-spring-boot Инструкции: 1. Ссылка 1 2. Ссылка 2</p>";devops_support,devops_reject
CRFLOMNIB-1892;ИС 2197. Сервис acrp-app-core-ui. Исправить работу джобы перекладчика Ms на IFT;Высокий;Закрыто;12.03.2025;12.03.2025;<p>Ссылка на джобу: https://sfera.test.vtb.ru/orchestration2/dashboard/ACRP/project/1b04363f-3406-46cc-b5a3-7aa97a164f9d/builds/1703966</p>;devops_support,devops_консультация
CRFLOMNII-1417;Ошибка при деплое на дев migr-processor;Высокий;Закрыто;25.03.2025;14.03.2025;"<p>Добрый день.</p>
<p>&nbsp;</p>
<p>Лог приложен</p>
<p>&nbsp;</p>
<p>Поды установлены в 0.</p>
<p><br />Но ошибка все равно есть...</p>
<p>&nbsp;</p>
<p>Если поду пытаться поднять - она не собирается из-за ошибки внутренней по инвентори</p>";devops_support,devops_консультация
CRFLOMNII-1415;Ошибка деплоя мигратора фронт и Бэк Девбар;Высокий;Закрыто;25.03.2025;12.03.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Просьба помочь с ошибками деплоя, отправляю Ивент</p>
<p>&nbsp;</p>
<p>ppcf-migrator-fe<br />(combined from similar events): Error creating: pods ""ppcf-migrator-fe-6f6879684f-tkw97"" is forbidden: exceeded quota: quota, requested: requests.memory=512Mi, used: requests.memory=14178Mi, limited: requests.memory=14Gi</p>
<p>&nbsp;</p>
<p>ppcf-migrator</p>
<p>Failed to pull image ""docker.repo-distr.sfera.inno.local/ppcf-docker/fluent/tslg-fluent-bit:4.5.6"": reading manifest 4.5.6 in docker.repo-distr.sfera.inno.local/ppcf-docker/fluent/tslg-fluent-bit: manifest unknown</p>
<p>&nbsp;</p>
<p>В логе ругается на отсутствие fluentbit по порту 5170</p>
<p>Знаю, что он лежит отдельным контейнером в поде с migrator</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_консультация,devops_инструменты
CRFLOMNII-1414;Ошибка при деплое ppcf-migrator на Девбар;Высокий;Закрыто;25.03.2025;12.03.2025;<p>Добрый день!<br /><br />Просьба помочь с деплоем мигратора на Девбар. Лог приложен.<br />Также для ppcf-migrator-fe скорее всего нужно будет сделать то же самое.</p>;devops_support,devops_консультация,devops_инструменты
STRCRED-13949;Доступ в VTB.Cloud на стенды ДЕВ, ИФТ (PPCF 2199);Средний;Выполнено;12.03.2025;12.03.2025;"<p>Логин: vtb4116417</p>
<p>Необходим доступ в VTB.Cloud в консоль &nbsp;K8S для просмотра логов запущенных POD на стенды ДЕВ и ИФТ</p>
<p>&nbsp;</p>";devops_support,devops_cloud_доступ
CRFLOMNII-1413;Предоставления доступа к Куберу;Высокий;Выполнено;17.03.2025;12.03.2025;"<p>Необходимо предоставить доступ к Куберу<br />Доступ к Дев стенд и ДевБар стенд.<br />ПП 2199<br />Учетные записи: <br />vtb4103008<br />vtb4119057</p>
<p>vtb4119069</p>";devops_cloud_доступ,devops_support
CRFLOMNIG-1213;Devops. buildRelease падает с ошибкой;Критический;Выполнено;12.03.2025;12.03.2025;"<p>buildRelease падает с ошибкой https://sfera.inno.local/orchestration3/dashboard/ACRP/project/4128851e-c3a0-49bd-964d-5081cba46be5/builds/948488<br /><br /></p>
<p>Номер ИС: &nbsp;2197</p>
<p>Имя сервиса: acrp-app-core-ui<br />Логин: VTB4108364</p>";devops_консультация,devops_support
CRFLOMNIH-3045;ИФТ. Исправить ошибку сервиса ppea-router;Высокий;Выполнено;24.03.2025;12.03.2025;"<p>Проблема. добавив настройки подключения к внешней кафке, получаю ошибку ""Не настроены секреты AXLN""&nbsp; где AXLN - имя нового подключения для входящих топиков</p>
<p>Ветка master, &nbsp;лог во вложении<br />Ожидаемый результат: ppea-router успешно установлен</p>";devops_support,devops_cloud_настройка
CRFLOMNIG-1210;Devops.Починить джобу;Критический;Выполнено;12.03.2025;12.03.2025;<p>Во время деплоя acrp-bff возникла ошибка:<br />[2025-03-12 09:27:09.269] + docker stop 0b14093d466314450e0941af5446ac142e4026b99eeefb67d899cbbee6984e8a --time=1 91[2025-03-12 09:27:10.121] 0b14093d466314450e0941af5446ac142e4026b99eeefb67d899cbbee6984e8a 92[2025-03-12 09:27:10.329] ? Выполнение команды piedpiper pipeline deploy k3-c acrp-bff sync -i /app/jenkins-agent/workspace/ACRP/CDL/MICROSERVICES/Deploy/inventory -v 0.2.63.5 --debug в контейнере с id 0b14093d466314450e0941af5446ac142e4026b99eeefb67d899cbbee6984e8a завершилось с ошибкой hudson.AbortException: script returned exit code 1</p>;devops_консультация,devops_support,devops_inventory_bug
CRFLOMNIL-1217;Не работает деплой на ифт ;Высокий;Выполнено;12.03.2025;11.03.2025;<p>При деплое выдает ошибку, что не может найти manifest. Build Release выполнился успешно. Delivery/Ms тоже. Пробовали на разных сервисах, тоже самое<br /><br />https://sfera.test.vtb.ru/orchestration2/dashboard/CASF/project/32bf3eef-65bf-4e06-9202-2a676c9ff270/builds/1699176</p>;devops_support,devops_инструменты
CRFLOMNII-1412;Деплой миграторов на ПСИ;Высокий;Закрыто;12.03.2025;11.03.2025;"<p>ДОбрый день!</p>
<p>&nbsp;</p>
<p>Просьба оказать поддержку в деплое севрвисов миграции на ПСИ. Лог приложен. Одинаковая ошибка для migrator-fe migr-processor</p>";devops_support,devops_консультация,devops_инструменты
CRFLOMNIH-3025;Реестр микросервисов. Описание репозитория брать из названия в реестре;Низкий;Выполнено;17.03.2025;11.03.2025;"<p>При создании репозиториев их описание, которое идёт второй строчкой, дублирует название репозитория.</p>
<p>Можно ли переделать так, чтобы в описание вставлялось название сервиса из реестра микросервисов?<br /><br />Ожидаемый вариант:<br />Реестре микросервисов:<br />Имя микросервиса: ppea-etags-diff<br />Название: 2200. Cервис поколоночного сравнения данных таблиц для etags<br /><br />Репозиторий:<br />Наименование репозитория: ppea-etags-diff<br />Описание: 2200. Cервис поколоночного сравнения данных таблиц для etags<br /><br />Фактический результат:</p>
<p>Реестре микросервисов:<br />Имя микросервиса: ppea-etags-diff<br />Название: 2200. Cервис поколоночного сравнения данных таблиц для etags<br /><br /></p>
<p>Репозиторий:<br />Наименование репозитория: ppea-etags-diff<br />Описание: ppea-etags-diff</p>
<p><br /><br /><br /></p>";devops_support,devops_reject
CRFLOMNIH-3024;2200. Публикация helm для portfolio-etags-checker;Средний;Закрыто;26.03.2025;11.03.2025;<p>Для деплоя и настройки инвентори требуется опубликовать helm по сервису ppea-pp-etags-checker, который использует образ portfolio-etags-checker, сам Deployment добавил в репозиторий: https://sfera.inno.local/sourcecode/projects/PPEA/repos/ppea-pp-etags-checker/code/browse/branch/develop<br />Прикрепил документ по деплою для информации по структуре самого сервиса и его компонентов<br /><br /></p>;devops_инструменты,devops_консультация,devops_support
CRFLOMNIL-1216;Ошибка BuildRelease для ppcf-general-cession-prod ;Высокий;Выполнено;12.03.2025;11.03.2025;"<p>При попытке сделать BuildRelease для ppcf-general-cession-prod возникает ошибка.&nbsp;</p>
<p>&nbsp;</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/c0f2c8dc-86a8-4071-832e-aed16a43fd2e/builds/560899</p>";devops_support,devops_инструменты
CRFLOMNIL-1215;Необходимо выполнить подключение к 1403 (СХК);Средний;Выполнено;02.04.2025;11.03.2025;"<p>ИС 2198 CASF</p>
<p>&nbsp;</p>
<p>Необходимо выполнить подключение к 1403 (СХК) по инструкции</p>
<p>&nbsp;</p>
<p>Подключение автоматизировано через Т1.Облако<br />Инструкция Центр документации | Сервисы OMNI : https://wiki.privatecloud.inno.tech/ru/home/prod-catalog/omni&nbsp;</p>
<p>&nbsp;</p>
<p>Документация поменялась</p>
<p>см. инструкцию https://docs.cloud.vtb.ru/home/prod-catalog/omni/content-storage_dso</p>
<p>&nbsp;</p>
<p>https://sfera.inno.local/tasks/task/OMNIONB-3190&nbsp;</p>
<p>&nbsp;</p>
<p>1. Куда требуется подключение (Т1 (ИННОТЕХ) / Контур банка) &mdash;Контур банка (заменено после обсуждения)</p>
<p>2. Номер код &nbsp;Вашей Системы/подсистемы (РИС код) -2198</p>
<p>3. Идентификационный код Вашей &nbsp;Системы/подсистемы (буквенный код) -CASF</p>
<p>4. CN (подписанный DEV УЦ) - APD00.00-2198-kafka-dm-client-casf</p>
<p>5. ТУЗ &nbsp;- casf_dev@corp.dev.vtb</p>
<p>&nbsp;</p>
<p>Вопросы прошу обсудить в переписке с</p>
<p>Скрыпник Илья Сергеевич (4057299) - ООО ""ГК Иннотех"" &lt;iskrypnik@vtb.ru&gt;</p>
<p>копия</p>
<p>Нейгебауэр Ирина Владимировна &lt;ivneigebauer@vtb.ru&gt;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_reject
CRFLOMNIH-3023;2200. Реестр микросервисов. Не получается переименовать сервис в статусе ожидают согласования;Средний;Закрыто;11.03.2025;11.03.2025;"<p>При согласовании сервисов с Архитекторами, предложили сократить названия, но при попытке изменить название возникает ошибка ""Произоша ошибка запроса"": https://ms-registry-ui.ppcf.oslb-dev01.corp.dev.vtb/?view=microservices<br />ppea-pp-etags-replication-applier&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; -&gt; ppea-etags-replication<br />ppea-pp-etags-standin-db-diff-worker -&gt; ppea-etags-diff</p>";devops_инструменты,devops_support,devops_консультация
CRFLOMNIA-1575;Ошибка сертификата ppcf-background-process на дев;Средний;Закрыто;10.06.2025;11.03.2025;"<p>ИС 2199</p>
<p>Фоновые процессы.</p>
<p>МС: ppcf-backgound-process</p>
<p>Получаем ошибку в логах:</p>
<p>2025-03-05 14:31:02[scheduling-1]ERROR o.a.k.c.s.s.DefaultSslEngineFactory - Modification time of key store could not be obtained: /tmp/tomcat-docbase.8080.3334057084521554020/certificates/kafka-monitoring.keystore.p12<br />java.nio.file.NoSuchFileException: /tmp/tomcat-docbase.8080.3334057084521554020/certificates/kafka-monitoring.keystore.p12</p>
<p>&nbsp;</p>
<p>Я проверил код, инвентори, конфиги, проверил в терминал папку /certificates - все выглядит норально, точно также как и в других местах где мы работаем с кафкой.</p>
<p>Непонятно почему он смотрит в /tmp/tomcat-docbase.8080.3334057084521554020.</p>
<p>&nbsp;</p>";devops_inventory_bug,devops_support
